key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,1,2.1142,0,53,53,34,1,5000,0,151000,4
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,0,2.4817,0,54,54,19,1,10000,0,149000,61
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,1,9.0096,0,55,55,64,1,25000,0,150000,4
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,1,5.6447,0,56,56,15,1,10000,0,20000,59
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.0161,0,57,57,37,1,5000,0,56000,9
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.9994,0,58,58,13,1,10000,0,111000,30
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.1163,0,59,59,45,1,5000,0,15000,61
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.4324,0,60,60,80,1,25000,0,35000,90
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.8142,0,61,61,69,1,25000,0,150000,9
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.6986,0,62,62,6,1,10000,0,40000,10
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,0,7.1919,0,63,63,66,1,25000,0,55000,11
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.3333,0,64,64,32,1,5000,0,54000,5
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,0,2.7973,0,65,65,10,1,10000,0,21000,31
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.2328,0,66,66,39,1,5000,0,149000,10
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,0,1.5154,0,67,67,57,1,5000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,1,0.9498,0,68,68,0,1,10000,0,20000,5
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,0,8.0594,0,69,69,89,1,25000,0,150000,150
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.9315,0,70,70,22,1,10000,0,61000,89
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.815,0,71,71,35,1,5000,0,15000,11
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,0,2.698,0,72,72,76,1,25000,0,55000,60
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,0,3.3133,0,73,73,56,1,5000,0,35000,150
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.3487,0,74,74,4,1,10000,0,150000,5
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.5994,0,75,75,87,1,25000,0,75000,151
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,0,1.515,0,76,76,50,1,5000,0,15000,91
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,0,2.9468,0,77,77,51,1,5000,0,35000,89
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,0,2.114,0,78,78,40,1,5000,0,14000,31
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,0,6.4939,0,79,79,12,1,10000,0,60000,29
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.6823,0,80,80,16,1,10000,0,39000,59
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,0,2.3648,0,81,81,70,1,25000,0,35000,30
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,1,5.2609,0,82,82,68,1,25000,0,125000,9
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,1,0.8662,0,83,83,81,1,25000,0,55000,90
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.5986,0,84,84,2,1,10000,0,61000,4
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,0,4.3466,0,85,85,48,1,5000,0,105000,60
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,1,2.4807,0,86,86,62,1,25000,0,75000,5
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.1148,0,87,87,43,1,5000,0,106000,29
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,1,3.7641,0,88,88,8,1,10000,0,111000,10
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,0,2.7977,0,89,89,78,1,25000,0,125000,59
