key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,respT.rt
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,58,58,3,1,10000,0,109000,5,0.8076
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,59,59,82,1,25000,0,75000,90,2.834
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,60,60,30,1,5000,0,16000,4,4.3579
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,61,61,64,1,25000,0,150000,4,2.3173
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,62,62,18,1,10000,0,110000,60,13.2724
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,63,63,42,1,5000,0,56000,29,4.0574
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,64,64,34,1,5000,0,151000,4,1.3916
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,65,65,69,1,25000,0,150000,9,1.4056
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,66,66,38,1,5000,0,104000,10,1.4417
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,67,67,83,1,25000,0,125000,89,13.2838
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,68,68,43,1,5000,0,106000,29,5.0354
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,69,69,73,1,25000,0,125000,31,2.0846
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,70,70,65,1,25000,0,35000,11,1.9894
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,71,71,19,1,10000,0,149000,61,8.7422
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,72,72,89,1,25000,0,150000,150,4.1932
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,73,73,4,1,10000,0,150000,5,1.3584
