key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,respT.rt,key_resp_4.keys,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,65.0,65.0,54.0,1.0,5000.0,0.0,150000.0,90.0,1.986155,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,66.0,66.0,18.0,1.0,10000.0,0.0,110000.0,60.0,1.837875,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,67.0,67.0,49.0,1.0,5000.0,0.0,149000.0,59.0,1.32435,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,68.0,68.0,74.0,1.0,25000.0,0.0,150000.0,29.0,2.054,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,69.0,69.0,83.0,1.0,25000.0,0.0,125000.0,89.0,1.519855,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,70.0,70.0,34.0,1.0,5000.0,0.0,151000.0,4.0,1.863655,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,71.0,71.0,17.0,1.0,10000.0,0.0,60000.0,60.0,2.753005,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,0.0,72.0,72.0,87.0,1.0,25000.0,0.0,75000.0,151.0,2.04117,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,73.0,73.0,13.0,1.0,10000.0,0.0,111000.0,30.0,1.722285,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,74.0,74.0,67.0,1.0,25000.0,0.0,75000.0,10.0,5.472555,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,75.0,75.0,48.0,1.0,5000.0,0.0,105000.0,60.0,1.458825,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,76.0,76.0,38.0,1.0,5000.0,0.0,104000.0,10.0,1.336335,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,77.0,77.0,45.0,1.0,5000.0,0.0,15000.0,61.0,1.44416,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,0.0,78.0,78.0,26.0,1.0,10000.0,0.0,39000.0,150.0,2.48875,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,79.0,79.0,24.0,1.0,10000.0,0.0,149000.0,89.0,3.670785,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,80.0,80.0,53.0,1.0,5000.0,0.0,104000.0,90.0,1.50727,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,81.0,81.0,5.0,1.0,10000.0,0.0,19000.0,11.0,1.83026,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,82.0,82.0,57.0,1.0,5000.0,0.0,55000.0,151.0,2.985605,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,83.0,83.0,10.0,1.0,10000.0,0.0,21000.0,31.0,1.995385,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,84.0,84.0,81.0,1.0,25000.0,0.0,55000.0,90.0,5.713385,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,85.0,85.0,63.0,1.0,25000.0,0.0,125000.0,4.0,0.925245,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,86.0,86.0,1.0,1.0,10000.0,0.0,39000.0,6.0,1.15917,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,87.0,87.0,59.0,1.0,5000.0,0.0,151000.0,150.0,2.48652,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,88.0,88.0,41.0,1.0,5000.0,0.0,35000.0,31.0,2.38411,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.0,89.0,89.0,80.0,1.0,25000.0,0.0,35000.0,90.0,3.93073,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,right,1.747365
