key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,respT.rt
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,32.0,32.0,64.0,1.0,25000.0,0.0,150000.0,4.0,2.3145
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,0.0,33.0,33.0,5.0,1.0,10000.0,0.0,19000.0,11.0,4.3997
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,34.0,34.0,9.0,1.0,10000.0,0.0,151000.0,11.0,5.122
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,35.0,35.0,60.0,1.0,25000.0,0.0,35000.0,5.0,4.6183
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.0,36.0,36.0,51.0,1.0,5000.0,0.0,35000.0,89.0,2.9491
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.0,37.0,37.0,87.0,1.0,25000.0,0.0,75000.0,151.0,2.6666
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,38.0,38.0,44.0,1.0,5000.0,0.0,150000.0,30.0,10.6071
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,39.0,39.0,23.0,1.0,10000.0,0.0,110000.0,90.0,5.8963
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,0.0,40.0,40.0,52.0,1.0,5000.0,0.0,56000.0,89.0,2.6279
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.0,41.0,41.0,57.0,1.0,5000.0,0.0,55000.0,151.0,4.9533
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,0.0,42.0,42.0,79.0,1.0,25000.0,0.0,150000.0,61.0,3.4807
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.0,43.0,43.0,47.0,1.0,5000.0,0.0,56000.0,60.0,2.2155
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,0.0,44.0,44.0,7.0,1.0,10000.0,0.0,59000.0,9.0,5.221
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,0.0,45.0,45.0,22.0,1.0,10000.0,0.0,61000.0,89.0,2.3145
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,46.0,46.0,70.0,1.0,25000.0,0.0,35000.0,30.0,2.2988
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,47.0,47.0,72.0,1.0,25000.0,0.0,75000.0,31.0,6.1983
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,0.0,48.0,48.0,21.0,1.0,10000.0,0.0,40000.0,91.0,5.0364
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,0.0,49.0,49.0,76.0,1.0,25000.0,0.0,55000.0,60.0,4.4191
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.0,50.0,50.0,86.0,1.0,25000.0,0.0,55000.0,151.0,2.4879
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,51.0,51.0,48.0,1.0,5000.0,0.0,105000.0,60.0,2.3618
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.0,52.0,52.0,40.0,1.0,5000.0,0.0,14000.0,31.0,4.2795
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,53.0,53.0,27.0,1.0,10000.0,0.0,61000.0,150.0,5.8548
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,54.0,54.0,80.0,1.0,25000.0,0.0,35000.0,90.0,1.8584
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,55.0,55.0,1.0,1.0,10000.0,0.0,39000.0,6.0,1.8995
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,56.0,56.0,36.0,1.0,5000.0,0.0,36000.0,9.0,0.9897
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,57.0,57.0,16.0,1.0,10000.0,0.0,39000.0,59.0,2.9239
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,58.0,58.0,20.0,1.0,10000.0,0.0,20000.0,90.0,2.7544
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,59.0,59.0,30.0,1.0,5000.0,0.0,16000.0,4.0,1.7724
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,60.0,60.0,14.0,1.0,10000.0,0.0,150000.0,30.0,1.8156
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,61.0,61.0,33.0,1.0,5000.0,0.0,104000.0,5.0,1.5788
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,62.0,62.0,69.0,1.0,25000.0,0.0,150000.0,9.0,1.0718
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,63.0,63.0,45.0,1.0,5000.0,0.0,15000.0,61.0,4.5814
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,64.0,64.0,41.0,1.0,5000.0,0.0,35000.0,31.0,2.7308
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,65.0,65.0,8.0,1.0,10000.0,0.0,111000.0,10.0,4.3914
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,66.0,66.0,88.0,1.0,25000.0,0.0,125000.0,149.0,5.6485
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,67.0,67.0,77.0,1.0,25000.0,0.0,75000.0,59.0,3.3852
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,68.0,68.0,19.0,1.0,10000.0,0.0,149000.0,61.0,4.3149
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,69.0,69.0,2.0,1.0,10000.0,0.0,61000.0,4.0,2.515
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,70.0,70.0,0.0,1.0,10000.0,0.0,20000.0,5.0,1.1993
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,71.0,71.0,58.0,1.0,5000.0,0.0,106000.0,152.0,2.089
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,72.0,72.0,18.0,1.0,10000.0,0.0,110000.0,60.0,2.6712
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,73.0,73.0,61.0,1.0,25000.0,0.0,55000.0,6.0,6.0228
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,74.0,74.0,10.0,1.0,10000.0,0.0,21000.0,31.0,3.9297
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,75.0,75.0,38.0,1.0,5000.0,0.0,104000.0,10.0,5.8636
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,0.0,76.0,76.0,71.0,1.0,25000.0,0.0,55000.0,30.0,7.7596
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,77.0,77.0,31.0,1.0,5000.0,0.0,35000.0,6.0,10.1188
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,78.0,78.0,6.0,1.0,10000.0,0.0,40000.0,10.0,16.1067
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,79.0,79.0,53.0,1.0,5000.0,0.0,104000.0,90.0,1.8082
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,80.0,80.0,68.0,1.0,25000.0,0.0,125000.0,9.0,2.077
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,0.0,81.0,81.0,83.0,1.0,25000.0,0.0,125000.0,89.0,2.1077
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.0,82.0,82.0,43.0,1.0,5000.0,0.0,106000.0,29.0,4.352
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.0,83.0,83.0,49.0,1.0,5000.0,0.0,149000.0,59.0,9.9853
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,0.0,84.0,84.0,46.0,1.0,5000.0,0.0,36000.0,61.0,2.4442
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,85.0,85.0,74.0,1.0,25000.0,0.0,150000.0,29.0,3.8728
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,86.0,86.0,24.0,1.0,10000.0,0.0,149000.0,89.0,4.3628
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,87.0,87.0,63.0,1.0,25000.0,0.0,125000.0,4.0,3.2333
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,88.0,88.0,39.0,1.0,5000.0,0.0,149000.0,10.0,1.923
,,,,,,,,,,,,,,,,,,,,,,,2,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,0.0,89.0,89.0,78.0,1.0,25000.0,0.0,125000.0,59.0,3.1521
