ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,key_resp_4.keys,key_resp_4.rt,session,psychopyVersion,frameRate,expName,date,participant,Unnamed: 43
,,,25.0,0.0,55.0,11.0,,,,,0.0,29.0,29.0,66.0,,,,,,,,,,,,,,,,,,right,1.0,1.46644555451,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5.0,0.0,56.0,89.0,,,,,0.0,30.0,30.0,52.0,,,,,,,,,,,,,,,,,,left,0.0,3.44968837965,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25.0,0.0,75.0,5.0,,,,,0.0,31.0,31.0,62.0,,,,,,,,,,,,,,,,,,right,1.0,4.69968786556,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25.0,0.0,75.0,10.0,,,,,0.0,32.0,32.0,67.0,,,,,,,,,,,,,,,,,,right,1.0,1.23294313112,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25.0,0.0,150.0,89.0,,,,,0.0,33.0,33.0,84.0,,,,,,,,,,,,,,,,,,right,1.0,2.29927477101,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25.0,0.0,35.0,150.0,,,,,0.0,34.0,34.0,85.0,,,,,,,,,,,,,,,,,,right,0.0,2.9156368426,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10.0,0.0,21.0,31.0,,,,,0.0,35.0,35.0,10.0,,,,,,,,,,,,,,,,,,right,0.0,1.91626450419,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10.0,0.0,61.0,150.0,,,,,0.0,36.0,36.0,27.0,,,,,,,,,,,,,,,,,,left,0.0,4.68349717977,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25.0,0.0,35.0,30.0,,,,,0.0,37.0,37.0,70.0,,,,,,,,,,,,,,,,,,right,0.0,3.73319707438,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5.0,0.0,150.0,30.0,,,,,0.0,38.0,38.0,44.0,,,,,,,,,,,,,,,,,,left,1.0,1.43380201468,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5.0,0.0,56.0,60.0,,,,,0.0,39.0,39.0,47.0,,,,,,,,,,,,,,,,,,left,1.0,3.98403138621,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10.0,0.0,61.0,4.0,,,,,0.0,40.0,40.0,2.0,,,,,,,,,,,,,,,,,,right,1.0,1.71674062172,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5.0,0.0,149.0,59.0,,,,,0.0,41.0,41.0,49.0,,,,,,,,,,,,,,,,,,right,1.0,1.68305714848,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10.0,0.0,151.0,151.0,,,,,0.0,42.0,42.0,29.0,,,,,,,,,,,,,,,,,,right,0.0,5.69927867781,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10.0,0.0,111.0,10.0,,,,,0.0,43.0,43.0,8.0,,,,,,,,,,,,,,,,,,right,1.0,3.94924629247,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10.0,0.0,111.0,30.0,,,,,0.0,44.0,44.0,13.0,,,,,,,,,,,,,,,,,,right,1.0,1.21655145008,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5.0,0.0,36.0,9.0,,,,,0.0,45.0,45.0,36.0,,,,,,,,,,,,,,,,,,right,1.0,0.950532972813,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25.0,0.0,35.0,90.0,,,,,0.0,46.0,46.0,80.0,,,,,,,,,,,,,,,,,,left,0.0,2.99997532554,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5.0,0.0,106.0,29.0,,,,,0.0,47.0,47.0,43.0,,,,,,,,,,,,,,,,,,right,1.0,2.23329166044,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
