key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,1.955405,0.0,34.0,34.0,63.0,1.0,25000.0,0.0,125000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,2.23203,0.0,35.0,35.0,66.0,1.0,25000.0,0.0,55000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,0.0,2.5579,0.0,36.0,36.0,85.0,1.0,25000.0,0.0,35000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,3.38716,0.0,37.0,37.0,59.0,1.0,5000.0,0.0,151000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,0.0,6.547595,0.0,38.0,38.0,45.0,1.0,5000.0,0.0,15000.0,61.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,2.49755,0.0,39.0,39.0,1.0,1.0,10000.0,0.0,39000.0,6.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,2.566415,0.0,40.0,40.0,61.0,1.0,25000.0,0.0,55000.0,6.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,4.910835,0.0,41.0,41.0,52.0,1.0,5000.0,0.0,56000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,0.0,1.343095,0.0,42.0,42.0,56.0,1.0,5000.0,0.0,35000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,3.007705,0.0,43.0,43.0,53.0,1.0,5000.0,0.0,104000.0,90.0
