ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,session,psychopyVersion,frameRate,expName,date,participant,Unnamed: 41
,,,5.0,0.0,35.0,89.0,,,,,0.0,37.0,37.0,51.0,,,,,,,,,,,,,,,,,,left,1.0,7.09785767319,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10.0,0.0,150.0,30.0,,,,,0.0,38.0,38.0,14.0,,,,,,,,,,,,,,,,,,right,1.0,1.65099174157,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10.0,0.0,149.0,89.0,,,,,0.0,39.0,39.0,24.0,,,,,,,,,,,,,,,,,,right,1.0,4.03265486564,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25.0,0.0,150.0,150.0,,,,,0.0,40.0,40.0,89.0,,,,,,,,,,,,,,,,,,left,0.0,1.44998316467,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25.0,0.0,55.0,90.0,,,,,0.0,41.0,41.0,81.0,,,,,,,,,,,,,,,,,,left,0.0,6.43194495514,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25.0,0.0,55.0,60.0,,,,,0.0,42.0,42.0,76.0,,,,,,,,,,,,,,,,,,left,0.0,2.38366074394,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10.0,0.0,20.0,90.0,,,,,0.0,43.0,43.0,20.0,,,,,,,,,,,,,,,,,,left,0.0,1.3491784106,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10.0,0.0,39.0,29.0,,,,,0.0,44.0,44.0,11.0,,,,,,,,,,,,,,,,,,left,0.0,6.19836016279,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25.0,0.0,125.0,89.0,,,,,0.0,45.0,45.0,83.0,,,,,,,,,,,,,,,,,,left,1.0,4.96577161038,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5.0,0.0,151.0,150.0,,,,,0.0,46.0,46.0,59.0,,,,,,,,,,,,,,,,,,right,1.0,4.66699737543,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25.0,0.0,75.0,59.0,,,,,0.0,47.0,47.0,77.0,,,,,,,,,,,,,,,,,,left,1.0,3.50050197542,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25.0,0.0,55.0,6.0,,,,,0.0,48.0,48.0,61.0,,,,,,,,,,,,,,,,,,right,1.0,4.94940767949,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25.0,0.0,55.0,151.0,,,,,0.0,49.0,49.0,86.0,,,,,,,,,,,,,,,,,,right,0.0,9.09867090918,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10.0,0.0,20.0,5.0,,,,,0.0,50.0,50.0,0.0,,,,,,,,,,,,,,,,,,left,1.0,2.04996774299,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10.0,0.0,19.0,11.0,,,,,0.0,51.0,51.0,5.0,,,,,,,,,,,,,,,,,,right,1.0,2.78305672854,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5.0,0.0,151.0,4.0,,,,,0.0,52.0,52.0,34.0,,,,,,,,,,,,,,,,,,left,1.0,1.09993342962,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25.0,0.0,150.0,89.0,,,,,0.0,53.0,53.0,84.0,,,,,,,,,,,,,,,,,,right,0.0,4.23283684114,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25.0,0.0,75.0,5.0,,,,,0.0,54.0,54.0,62.0,,,,,,,,,,,,,,,,,,right,1.0,2.23231507512,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25.0,0.0,150.0,61.0,,,,,0.0,55.0,55.0,79.0,,,,,,,,,,,,,,,,,,left,1.0,1.78359957132,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5.0,0.0,56.0,29.0,,,,,0.0,56.0,56.0,42.0,,,,,,,,,,,,,,,,,,right,1.0,1.78336053528,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25.0,0.0,150.0,4.0,,,,,0.0,57.0,57.0,64.0,,,,,,,,,,,,,,,,,,left,1.0,0.850321927108,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5.0,0.0,14.0,149.0,,,,,0.0,58.0,58.0,55.0,,,,,,,,,,,,,,,,,,right,0.0,2.01752158394,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5.0,0.0,15.0,11.0,,,,,0.0,59.0,59.0,35.0,,,,,,,,,,,,,,,,,,right,1.0,1.81656955322,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10.0,0.0,111.0,30.0,,,,,0.0,60.0,60.0,13.0,,,,,,,,,,,,,,,,,,left,1.0,2.28330116207,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5.0,0.0,150.0,30.0,,,,,0.0,61.0,61.0,44.0,,,,,,,,,,,,,,,,,,right,1.0,3.06634915154,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25.0,0.0,75.0,31.0,,,,,0.0,62.0,62.0,72.0,,,,,,,,,,,,,,,,,,right,0.0,9.78140866617,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
