ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro1.started,intro1.stopped,key1.keys,key1.rt,key1.started,key1.stopped,intro2.started,intro2.stopped,key2.keys,key2.rt,key2.started,key2.stopped,intro2_2.started,intro2_2.stopped,key2_2.keys,key2_2.rt,key2_2.started,key2_2.stopped,Intro2_3.started,Intro2_3.stopped,key2_3.keys,key2_3.rt,key2_3.started,key2_3.stopped,key3.keys,key3.rt,key3.started,key3.stopped,intro3.started,intro3.stopped,ss_am.started,ss_am.stopped,ss_del.started,ss_del.stopped,ll_am.started,ll_am.stopped,ll_del.started,ll_del.stopped,Intro4.started,Intro4.stopped,key4.keys,key4.rt,key4.started,key4.stopped,pregunta.started,pregunta.stopped,ssAm_P.started,ssAm_P.stopped,ssDel_P.started,ssDel_P.stopped,llAm_P.started,llAm_P.stopped,llDel_P.started,llDel_P.stopped,respP.keys,respP.corr,respP.rt,respP.started,respP.stopped,feedbackP.started,feedbackP.stopped,comienzo.started,comienzo.stopped,key5.keys,key5.rt,key5.started,key5.stopped,preguntaT.started,preguntaT.stopped,ssAm_T.started,ssAm_T.stopped,ssDel_T.started,ssDel_T.stopped,llAm_T.started,llAm_T.stopped,llDel_T.started,llDel_T.stopped,respT.keys,respT.corr,respT.rt,respT.started,respT.stopped,textfbT.started,textfbT.stopped,session,participant,date,expName,psychopyVersion,frameRate,Unnamed: 105
,,,10.0,0.0,39.0,150.0,,,,,0.0,15.0,15.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.90477089998603,None,268.90477089998603,None,268.90477089998603,None,268.90477089998603,None,268.90477089998603,None,right,0.0,2.474714200012386,269.3992118999886,None,271.9091931999865,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,10.0,0.0,149.0,89.0,,,,,0.0,16.0,16.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.9145964999916,None,274.9145964999916,None,274.9145964999916,None,274.9145964999916,None,274.9145964999916,None,left,1.0,1.1518635999964315,275.4146605999995,None,276.60722009999154,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,25.0,0.0,125.0,89.0,,,,,0.0,17.0,17.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.61506559999543,None,279.61506559999543,None,279.61506559999543,None,279.61506559999543,None,279.61506559999543,None,right,1.0,1.1675664999929722,280.1138620999991,None,281.29596909999964,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,5.0,0.0,14.0,31.0,,,,,0.0,18.0,18.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.31873789998644,None,284.31873789998644,None,284.31873789998644,None,284.31873789998644,None,284.31873789998644,None,right,1.0,4.803183399999398,284.8122546999948,None,289.6433764999965,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,25.0,0.0,35.0,90.0,,,,,0.0,19.0,19.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.6670361999859,None,292.6670361999859,None,292.6670361999859,None,292.6670361999859,None,292.6670361999859,None,left,0.0,2.229596199991647,293.16057739999087,None,295.4223020999925,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,5.0,0.0,104.0,10.0,,,,,0.0,20.0,20.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.43267789999663,None,298.43267789999663,None,298.43267789999663,None,298.43267789999663,None,298.43267789999663,None,left,1.0,1.449612199998228,298.9269373999996,None,300.4025615999999,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,5.0,0.0,56.0,29.0,,,,,0.0,21.0,21.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.4088691999932,None,303.4088691999932,None,303.4088691999932,None,303.4088691999932,None,303.4088691999932,None,left,1.0,1.829631700005848,303.90934019999986,None,305.7597206999926,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,5.0,0.0,106.0,152.0,,,,,0.0,22.0,22.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.77698179999425,None,308.77698179999425,None,308.77698179999425,None,308.77698179999425,None,308.77698179999425,None,right,1.0,2.228727699999581,309.27452469999844,None,311.5237183999998,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,5.0,0.0,104.0,5.0,,,,,0.0,23.0,23.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.54328229998646,None,314.54328229998646,None,314.54328229998646,None,314.54328229998646,None,314.54328229998646,None,right,1.0,1.291899400006514,315.04054879999603,None,316.35620019999624,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,5.0,0.0,35.0,31.0,,,,,0.0,24.0,24.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.37323789999937,None,319.37323789999937,None,319.37323789999937,None,319.37323789999937,None,319.37323789999937,None,right,1.0,2.343732399996952,319.87220489999163,None,322.2385512999899,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
