key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.1509,0,36,36,41,1,5000,0,35000,31
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,0,1.5226,0,37,37,20,1,10000,0,20000,90
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.1366,0,38,38,79,1,25000,0,150000,61
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,3.0013,0,39,39,61,1,25000,0,55000,6
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,0.9203,0,40,40,89,1,25000,0,150000,150
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,5.5359,0,41,41,4,1,10000,0,150000,5
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.6927,0,42,42,12,1,10000,0,60000,29
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,0,1.2595,0,43,43,81,1,25000,0,55000,90
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,2.444,0,44,44,86,1,25000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,3.31,0,45,45,87,1,25000,0,75000,151
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.6683,0,46,46,58,1,5000,0,106000,152
