key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,respT.rt,key_resp_4.keys,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,50,50,20,1,10000,0,20000,90,0.121565,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,51,51,39,1,5000,0,149000,10,0.4856,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,52,52,10,1,10000,0,21000,31,2.785455,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,53,53,83,1,25000,0,125000,89,0.018235,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,54,54,82,1,25000,0,75000,90,0.402815,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,55,55,2,1,10000,0,61000,4,4.212185,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,,0,0,56,56,50,1,5000,0,15000,91,,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,57,57,68,1,25000,0,125000,9,1.041585,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,58,58,24,1,10000,0,149000,89,5.338885,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,59,59,73,1,25000,0,125000,31,0.51789,,
