key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,key_resp_4.keys,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.933255,0,36,36,62,1,25000,0,75000,5,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,1,9.36182,0,37,37,38,1,5000,0,104000,10,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,1,9.53086,0,38,38,12,1,10000,0,60000,29,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.658195,0,39,39,52,1,5000,0,56000,89,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,0,1.898785,0,40,40,60,1,25000,0,35000,5,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.902135,0,41,41,56,1,5000,0,35000,150,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.434345,0,42,42,74,1,25000,0,150000,29,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,0,3.548065,0,43,43,25,1,10000,0,10000,150,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.8321,0,44,44,36,1,5000,0,36000,9,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.268245,0,45,45,73,1,25000,0,125000,31,,
