key1_keys,key1_rt,key2_keys,key2_rt,key2_2_keys,key2_2_rt,key2_3_keys,key2_3_rt,key3_keys,key3_rt,key4_keys,key4_rt,respP_keys,respP_corr,respP_rt,Practice_thisRepN,Practice_thisTrialN,Practice_thisN,Practice_thisIndex,Practice_ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5_keys,key5_rt,respT_keys,respT_corr,respT_rt,trials_thisRepN,trials_thisTrialN,trials_thisN,trials_thisIndex,trials_ran,ss_am,ss_del,ll_am,ll_del
,,,,,,,,,,,,,,,,,,,,,,,04 mayo 2022,108,2022-05-04_07h48.02.517,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.6021,0.0,30.0,30.0,35.0,1.0,5000.0,0.0,15000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,04 mayo 2022,108,2022-05-04_07h48.02.517,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,3.5525,0.0,31.0,31.0,24.0,1.0,10000.0,0.0,149000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,04 mayo 2022,108,2022-05-04_07h48.02.517,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.1529,0.0,32.0,32.0,64.0,1.0,25000.0,0.0,150000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,04 mayo 2022,108,2022-05-04_07h48.02.517,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,3.0672,0.0,33.0,33.0,10.0,1.0,10000.0,0.0,21000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,,04 mayo 2022,108,2022-05-04_07h48.02.517,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,3.4892,0.0,34.0,34.0,25.0,1.0,10000.0,0.0,10000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,04 mayo 2022,108,2022-05-04_07h48.02.517,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.6029,0.0,35.0,35.0,38.0,1.0,5000.0,0.0,104000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,,04 mayo 2022,108,2022-05-04_07h48.02.517,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,2.4326,0.0,36.0,36.0,73.0,1.0,25000.0,0.0,125000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,,04 mayo 2022,108,2022-05-04_07h48.02.517,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.7496,0.0,37.0,37.0,31.0,1.0,5000.0,0.0,35000.0,6.0
,,,,,,,,,,,,,,,,,,,,,,,04 mayo 2022,108,2022-05-04_07h48.02.517,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,4.847,0.0,38.0,38.0,89.0,1.0,25000.0,0.0,150000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,04 mayo 2022,108,2022-05-04_07h48.02.517,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.4183,0.0,39.0,39.0,3.0,1.0,10000.0,0.0,109000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,04 mayo 2022,108,2022-05-04_07h48.02.517,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,1.7827,0.0,40.0,40.0,12.0,1.0,10000.0,0.0,60000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,,04 mayo 2022,108,2022-05-04_07h48.02.517,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.8937,0.0,41.0,41.0,43.0,1.0,5000.0,0.0,106000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,,04 mayo 2022,108,2022-05-04_07h48.02.517,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.5637,0.0,42.0,42.0,34.0,1.0,5000.0,0.0,151000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,04 mayo 2022,108,2022-05-04_07h48.02.517,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.8428,0.0,43.0,43.0,9.0,1.0,10000.0,0.0,151000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,04 mayo 2022,108,2022-05-04_07h48.02.517,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.3506,0.0,44.0,44.0,68.0,1.0,25000.0,0.0,125000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,04 mayo 2022,108,2022-05-04_07h48.02.517,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,2.134,0.0,45.0,45.0,45.0,1.0,5000.0,0.0,15000.0,61.0
,,,,,,,,,,,,,,,,,,,,,,,04 mayo 2022,108,2022-05-04_07h48.02.517,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.8989,0.0,46.0,46.0,69.0,1.0,25000.0,0.0,150000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,04 mayo 2022,108,2022-05-04_07h48.02.517,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.9497,0.0,47.0,47.0,32.0,1.0,5000.0,0.0,54000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,04 mayo 2022,108,2022-05-04_07h48.02.517,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,2.0507,0.0,48.0,48.0,20.0,1.0,10000.0,0.0,20000.0,90.0
