key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,respT.rt
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.0,35.0,35.0,71.0,1.0,25000.0,0.0,55000.0,30.0,1.5193
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,36.0,36.0,30.0,1.0,5000.0,0.0,16000.0,4.0,0.6846
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,37.0,37.0,79.0,1.0,25000.0,0.0,150000.0,61.0,1.168
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,38.0,38.0,72.0,1.0,25000.0,0.0,75000.0,31.0,3.6231
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,39.0,39.0,82.0,1.0,25000.0,0.0,75000.0,90.0,0.7554
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,40.0,40.0,44.0,1.0,5000.0,0.0,150000.0,30.0,1.1171
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,41.0,41.0,31.0,1.0,5000.0,0.0,35000.0,6.0,0.7309
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,42.0,42.0,2.0,1.0,10000.0,0.0,61000.0,4.0,0.5793
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,43.0,43.0,38.0,1.0,5000.0,0.0,104000.0,10.0,0.4018
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,44.0,44.0,85.0,1.0,25000.0,0.0,35000.0,150.0,0.5635
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,45.0,45.0,14.0,1.0,10000.0,0.0,150000.0,30.0,1.299
