key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,respT.rt,key_resp_4.keys,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,0.0,32.0,32.0,87.0,1.0,25000.0,0.0,75000.0,151.0,1.73,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.0,33.0,33.0,86.0,1.0,25000.0,0.0,55000.0,151.0,1.664,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.0,34.0,34.0,12.0,1.0,10000.0,0.0,60000.0,29.0,1.889,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.0,35.0,35.0,9.0,1.0,10000.0,0.0,151000.0,11.0,2.098,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.0,36.0,36.0,16.0,1.0,10000.0,0.0,39000.0,59.0,2.454,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.0,37.0,37.0,21.0,1.0,10000.0,0.0,40000.0,91.0,2.052,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.0,38.0,38.0,36.0,1.0,5000.0,0.0,36000.0,9.0,4.455,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.0,39.0,39.0,54.0,1.0,5000.0,0.0,150000.0,90.0,2.564,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.0,40.0,40.0,42.0,1.0,5000.0,0.0,56000.0,29.0,2.792,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,,0.0,0.0,41.0,41.0,80.0,1.0,25000.0,0.0,35000.0,90.0,,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,0.0,42.0,42.0,17.0,1.0,10000.0,0.0,60000.0,60.0,4.133,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.0,43.0,43.0,31.0,1.0,5000.0,0.0,35000.0,6.0,1.699,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.0,44.0,44.0,20.0,1.0,10000.0,0.0,20000.0,90.0,1.716,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.0,45.0,45.0,66.0,1.0,25000.0,0.0,55000.0,11.0,3.74,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.0,46.0,46.0,43.0,1.0,5000.0,0.0,106000.0,29.0,2.556,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,0.0,47.0,47.0,88.0,1.0,25000.0,0.0,125000.0,149.0,2.179,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.0,48.0,48.0,76.0,1.0,25000.0,0.0,55000.0,60.0,1.981,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.0,49.0,49.0,53.0,1.0,5000.0,0.0,104000.0,90.0,4.025,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.0,50.0,50.0,34.0,1.0,5000.0,0.0,151000.0,4.0,4.617,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.0,51.0,51.0,60.0,1.0,25000.0,0.0,35000.0,5.0,7.597,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.0,52.0,52.0,26.0,1.0,10000.0,0.0,39000.0,150.0,2.358,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.0,53.0,53.0,4.0,1.0,10000.0,0.0,150000.0,5.0,3.249,,
