key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,key_resp_4.keys,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,0.0,16.521445,0.0,36.0,36.0,56.0,1.0,5000.0,0.0,35000.0,150.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,8.068405,0.0,37.0,37.0,37.0,1.0,5000.0,0.0,56000.0,9.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,0.0,10.45896,0.0,38.0,38.0,75.0,1.0,25000.0,0.0,35000.0,60.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,4.87633,0.0,39.0,39.0,41.0,1.0,5000.0,0.0,35000.0,31.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,4.37289,0.0,40.0,40.0,72.0,1.0,25000.0,0.0,75000.0,31.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,8.49791,0.0,41.0,41.0,27.0,1.0,10000.0,0.0,61000.0,150.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,1.77274,0.0,42.0,42.0,34.0,1.0,5000.0,0.0,151000.0,4.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,1.870735,0.0,43.0,43.0,17.0,1.0,10000.0,0.0,60000.0,60.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,4.35089,0.0,44.0,44.0,70.0,1.0,25000.0,0.0,35000.0,30.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,6.40434,0.0,45.0,45.0,29.0,1.0,10000.0,0.0,151000.0,151.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,10.021835,0.0,46.0,46.0,28.0,1.0,10000.0,0.0,109000.0,149.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,0.0,6.60862,0.0,47.0,47.0,15.0,1.0,10000.0,0.0,20000.0,59.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,5.316765,0.0,48.0,48.0,73.0,1.0,25000.0,0.0,125000.0,31.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,2.303145,0.0,49.0,49.0,62.0,1.0,25000.0,0.0,75000.0,5.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,1.363995,0.0,50.0,50.0,64.0,1.0,25000.0,0.0,150000.0,4.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,4.0274,0.0,51.0,51.0,60.0,1.0,25000.0,0.0,35000.0,5.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,4.0446,0.0,52.0,52.0,65.0,1.0,25000.0,0.0,35000.0,11.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,1.455795,0.0,53.0,53.0,2.0,1.0,10000.0,0.0,61000.0,4.0,,
