key1_keys,key1_rt,key2_keys,key2_rt,key2_2_keys,key2_2_rt,key2_3_keys,key2_3_rt,key3_keys,key3_rt,key4_keys,key4_rt,respP_keys,respP_corr,respP_rt,Practice_thisRepN,Practice_thisTrialN,Practice_thisN,Practice_thisIndex,Practice_ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5_keys,key5_rt,respT_keys,respT_corr,respT_rt,trials_thisRepN,trials_thisTrialN,trials_thisN,trials_thisIndex,trials_ran,ss_am,ss_del,ll_am,ll_del
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.208,0.0,45.0,45.0,32.0,1.0,5000.0,0.0,54000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.5234,0.0,46.0,46.0,3.0,1.0,10000.0,0.0,109000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,6.7007,0.0,47.0,47.0,28.0,1.0,10000.0,0.0,109000.0,149.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.8234,0.0,48.0,48.0,14.0,1.0,10000.0,0.0,150000.0,30.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,5.5835,0.0,49.0,49.0,40.0,1.0,5000.0,0.0,14000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,3.6209,0.0,50.0,50.0,7.0,1.0,10000.0,0.0,59000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,7.9678,0.0,51.0,51.0,16.0,1.0,10000.0,0.0,39000.0,59.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,9.3505,0.0,52.0,52.0,22.0,1.0,10000.0,0.0,61000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,4.9353,0.0,53.0,53.0,48.0,1.0,5000.0,0.0,105000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,9.0773,0.0,54.0,54.0,36.0,1.0,5000.0,0.0,36000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,2.1974,0.0,55.0,55.0,81.0,1.0,25000.0,0.0,55000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,,2,112,2021-11-13_10h28.03.925,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,4.1168,0.0,56.0,56.0,26.0,1.0,10000.0,0.0,39000.0,150.0
