key1_keys,key1_rt,key2_keys,key2_rt,key2_2_keys,key2_2_rt,key2_3_keys,key2_3_rt,key3_keys,key3_rt,key4_keys,key4_rt,respP_keys,respP_corr,respP_rt,Practice_thisRepN,Practice_thisTrialN,Practice_thisN,Practice_thisIndex,Practice_ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5_keys,key5_rt,respT_keys,respT_corr,respT_rt,trials_thisRepN,trials_thisTrialN,trials_thisN,trials_thisIndex,trials_ran,ss_am,ss_del,ll_am,ll_del
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,1.284,0.0,32.0,32.0,42.0,1.0,5000.0,0.0,56000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.625,0.0,33.0,33.0,56.0,1.0,5000.0,0.0,35000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,1.906,0.0,34.0,34.0,13.0,1.0,10000.0,0.0,111000.0,30.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,1.367,0.0,35.0,35.0,72.0,1.0,25000.0,0.0,75000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.544,0.0,36.0,36.0,22.0,1.0,10000.0,0.0,61000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,1.894,0.0,37.0,37.0,48.0,1.0,5000.0,0.0,105000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,1.652,0.0,38.0,38.0,55.0,1.0,5000.0,0.0,14000.0,149.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,1.2,0.0,39.0,39.0,65.0,1.0,25000.0,0.0,35000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,2.354,0.0,40.0,40.0,59.0,1.0,5000.0,0.0,151000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,1.63,0.0,41.0,41.0,61.0,1.0,25000.0,0.0,55000.0,6.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.885,0.0,42.0,42.0,31.0,1.0,5000.0,0.0,35000.0,6.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.94,0.0,43.0,43.0,44.0,1.0,5000.0,0.0,150000.0,30.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,1.24,0.0,44.0,44.0,12.0,1.0,10000.0,0.0,60000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,1.339,0.0,45.0,45.0,10.0,1.0,10000.0,0.0,21000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,1.878,0.0,46.0,46.0,89.0,1.0,25000.0,0.0,150000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,1.04,0.0,47.0,47.0,8.0,1.0,10000.0,0.0,111000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,5.627,0.0,48.0,48.0,35.0,1.0,5000.0,0.0,15000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,2.177,0.0,49.0,49.0,29.0,1.0,10000.0,0.0,151000.0,151.0
,,,,,,,,,,,,,,,,,,,,,,,2,111,2020-11-13_09h49.56.879,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,2.025,0.0,50.0,50.0,75.0,1.0,25000.0,0.0,35000.0,60.0
