key1_keys,key1_rt,key2_keys,key2_rt,key2_2_keys,key2_2_rt,key2_3_keys,key2_3_rt,key3_keys,key3_rt,key4_keys,key4_rt,respP_keys,respP_corr,respP_rt,Practice_thisRepN,Practice_thisTrialN,Practice_thisN,Practice_thisIndex,Practice_ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5_keys,key5_rt,respT_keys,respT_corr,respT_rt,trials_thisRepN,trials_thisTrialN,trials_thisN,trials_thisIndex,trials_ran,ss_am,ss_del,ll_am,ll_del,key_resp_4_keys,key_resp_4_rt
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.130945,0.0,32.0,32.0,58.0,1.0,5000.0,0.0,106000.0,en 152 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.059465,0.0,33.0,33.0,29.0,1.0,10000.0,0.0,151000.0,en 151 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.16868,0.0,34.0,34.0,59.0,1.0,5000.0,0.0,151000.0,en 150 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,0.962345,0.0,35.0,35.0,38.0,1.0,5000.0,0.0,104000.0,en 10 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.143135,0.0,36.0,36.0,1.0,1.0,10000.0,0.0,39000.0,en 6 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,,0.0,,0.0,37.0,37.0,63.0,1.0,25000.0,0.0,125000.0,en 4 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.567875,0.0,38.0,38.0,69.0,1.0,25000.0,0.0,150000.0,en 9 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.90933,0.0,39.0,39.0,74.0,1.0,25000.0,0.0,150000.0,en 29 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.024655,0.0,40.0,40.0,75.0,1.0,25000.0,0.0,35000.0,en 60 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.02265,0.0,41.0,41.0,45.0,1.0,5000.0,0.0,15000.0,en 61 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0741,0.0,42.0,42.0,30.0,1.0,5000.0,0.0,16000.0,en 4 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.039125,0.0,43.0,43.0,5.0,1.0,10000.0,0.0,19000.0,en 11 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.003555,0.0,44.0,44.0,32.0,1.0,5000.0,0.0,54000.0,en 5 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.095225,0.0,45.0,45.0,12.0,1.0,10000.0,0.0,60000.0,en 29 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.30752,0.0,46.0,46.0,79.0,1.0,25000.0,0.0,150000.0,en 61 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.12449,0.0,47.0,47.0,77.0,1.0,25000.0,0.0,75000.0,en 59 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.2108,0.0,48.0,48.0,22.0,1.0,10000.0,0.0,61000.0,en 89 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,4.085085,0.0,49.0,49.0,7.0,1.0,10000.0,0.0,59000.0,en 9 dias,,
