ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,key_resp_4.keys,key_resp_4.rt,session,psychopyVersion,frameRate,expName,date,participant,
,,,5,0,105.0,60,,,,,0,61,61,48,,,,,,,,,,,,,,,,,,right,1,0.767751871608,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,55.0,90,,,,,0,62,62,81,,,,,,,,,,,,,,,,,,right,1,1.86624075472,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,55.0,151,,,,,0,63,63,86,,,,,,,,,,,,,,,,,,right,0,2.49983498827,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,35.0,89,,,,,0,64,64,51,,,,,,,,,,,,,,,,,,left,1,3.73333381303,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,125.0,149,,,,,0,65,65,88,,,,,,,,,,,,,,,,,,right,0,3.54983766098,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,75.0,59,,,,,0,66,66,77,,,,,,,,,,,,,,,,,,left,1,1.58389999345,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,125.0,4,,,,,0,67,67,63,,,,,,,,,,,,,,,,,,left,1,0.733277267311,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,20.0,59,,,,,0,68,68,15,,,,,,,,,,,,,,,,,,left,0,1.75033670617,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,125.0,59,,,,,0,69,69,78,,,,,,,,,,,,,,,,,,left,1,1.74998252233,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,39.0,59,,,,,0,70,70,16,,,,,,,,,,,,,,,,,,right,0,3.78301263135,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
