ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,session,psychopyVersion,frameRate,expName,date,participant,
,,,25,0,150.0,89,,,,,0,53,53,84,,,,,,,,,,,,,,,,,,right,0,4.23283684114,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25,0,75.0,5,,,,,0,54,54,62,,,,,,,,,,,,,,,,,,right,1,2.23231507512,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25,0,150.0,61,,,,,0,55,55,79,,,,,,,,,,,,,,,,,,left,1,1.78359957132,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5,0,56.0,29,,,,,0,56,56,42,,,,,,,,,,,,,,,,,,right,1,1.78336053528,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25,0,150.0,4,,,,,0,57,57,64,,,,,,,,,,,,,,,,,,left,1,0.850321927108,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5,0,14.0,149,,,,,0,58,58,55,,,,,,,,,,,,,,,,,,right,0,2.01752158394,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5,0,15.0,11,,,,,0,59,59,35,,,,,,,,,,,,,,,,,,right,1,1.81656955322,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10,0,111.0,30,,,,,0,60,60,13,,,,,,,,,,,,,,,,,,left,1,2.28330116207,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5,0,150.0,30,,,,,0,61,61,44,,,,,,,,,,,,,,,,,,right,1,3.06634915154,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25,0,75.0,31,,,,,0,62,62,72,,,,,,,,,,,,,,,,,,right,0,9.78140866617,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10,0,110.0,90,,,,,0,63,63,23,,,,,,,,,,,,,,,,,,left,1,1.2002164172,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10,0,39.0,6,,,,,0,64,64,1,,,,,,,,,,,,,,,,,,right,1,2.21674073348,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5,0,104.0,5,,,,,0,65,65,33,,,,,,,,,,,,,,,,,,left,1,1.11698979372,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25,0,55.0,11,,,,,0,66,66,66,,,,,,,,,,,,,,,,,,right,1,1.51678262884,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5,0,15.0,91,,,,,0,67,67,50,,,,,,,,,,,,,,,,,,left,0,2.56663111132,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25,0,125.0,59,,,,,0,68,68,78,,,,,,,,,,,,,,,,,,left,0,4.5653135865,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5,0,56.0,60,,,,,0,69,69,47,,,,,,,,,,,,,,,,,,left,0,1.60029198369,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5,0,104.0,90,,,,,0,70,70,53,,,,,,,,,,,,,,,,,,right,1,2.20080603892,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25,0,150.0,29,,,,,0,71,71,74,,,,,,,,,,,,,,,,,,right,1,2.33347606938,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5,0,54.0,5,,,,,0,72,72,32,,,,,,,,,,,,,,,,,,left,1,1.3000377831,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25,0,35.0,11,,,,,0,73,73,65,,,,,,,,,,,,,,,,,,right,0,3.049576547,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10,0,60.0,29,,,,,0,74,74,12,,,,,,,,,,,,,,,,,,right,1,2.49978641002,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5,0,149.0,59,,,,,0,75,75,49,,,,,,,,,,,,,,,,,,right,0,2.66636765748,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25,0,125.0,4,,,,,0,76,76,63,,,,,,,,,,,,,,,,,,right,1,1.11688543996,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5,0,56.0,9,,,,,0,77,77,37,,,,,,,,,,,,,,,,,,right,1,0.933458591346,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10,0,10.01,150,,,,,0,78,78,25,,,,,,,,,,,,,,,,,,right,0,2.68326929025,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5,0,16.0,4,,,,,0,79,79,30,,,,,,,,,,,,,,,,,,left,1,1.76674266113,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10,0,40.0,10,,,,,0,80,80,6,,,,,,,,,,,,,,,,,,left,1,2.91623670189,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10,0,111.0,10,,,,,0,81,81,8,,,,,,,,,,,,,,,,,,right,1,1.80046367785,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5,0,149.0,10,,,,,0,82,82,39,,,,,,,,,,,,,,,,,,right,1,1.28336233459,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5,0,35.0,150,,,,,0,83,83,56,,,,,,,,,,,,,,,,,,right,0,1.55025689956,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25,0,35.0,60,,,,,0,84,84,75,,,,,,,,,,,,,,,,,,right,0,5.36637048516,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10,0,20.0,59,,,,,0,85,85,15,,,,,,,,,,,,,,,,,,left,0,1.7835661578,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10,0,151.0,11,,,,,0,86,86,9,,,,,,,,,,,,,,,,,,left,1,1.43333547516,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5,0,150.0,90,,,,,0,87,87,54,,,,,,,,,,,,,,,,,,left,1,6.88233268121,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5,0,104.0,10,,,,,0,88,88,38,,,,,,,,,,,,,,,,,,right,1,6.33355574775,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10,0,21.0,31,,,,,0,89,89,10,,,,,,,,,,,,,,,,,,right,0,1.1169512393,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
