key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,key_resp_4.keys,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.455795,0,53,53,2,1,10000,0,61000,4,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,5.550055,0,54,54,0,1,10000,0,20000,5,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.30821,0,55,55,4,1,10000,0,150000,5,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.7877,0,56,56,85,1,25000,0,35000,150,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.60514,0,57,57,63,1,25000,0,125000,4,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.65623,0,58,58,20,1,10000,0,20000,90,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,0,4.190725,0,59,59,25,1,10000,0,10000,150,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,5.098985,0,60,60,84,1,25000,0,150000,89,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.71938,0,61,61,43,1,5000,0,106000,29,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,5.371665,0,62,62,46,1,5000,0,36000,61,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,4.420135,0,63,63,30,1,5000,0,16000,4,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1,2.836315,0,64,64,69,1,25000,0,150000,9,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,0,4.24621,0,65,65,88,1,25000,0,125000,149,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.63275,0,66,66,12,1,10000,0,60000,29,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1,7.05133,0,67,67,24,1,10000,0,149000,89,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.17247,0,68,68,57,1,5000,0,55000,151,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1,6.60267,0,69,69,83,1,25000,0,125000,89,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1,3.609965,0,70,70,23,1,10000,0,110000,90,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.57115,0,71,71,3,1,10000,0,109000,5,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1,2.393375,0,72,72,5,1,10000,0,19000,11,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1,4.385585,0,73,73,47,1,5000,0,56000,60,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.139155,0,74,74,7,1,10000,0,59000,9,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,0,2.06597,0,75,75,16,1,10000,0,39000,59,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.21875,0,76,76,19,1,10000,0,149000,61,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.354845,0,77,77,18,1,10000,0,110000,60,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.407185,0,78,78,13,1,10000,0,111000,30,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,0,2.558505,0,79,79,45,1,5000,0,15000,61,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1,2.952045,0,80,80,54,1,5000,0,150000,90,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,4.4364,0,81,81,44,1,5000,0,150000,30,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1,6.530445,0,82,82,59,1,5000,0,151000,150,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.985265,0,83,83,9,1,10000,0,151000,11,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,4.244575,0,84,84,40,1,5000,0,14000,31,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.93909,0,85,85,33,1,5000,0,104000,5,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1,2.4058,0,86,86,32,1,5000,0,54000,5,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.637815,0,87,87,87,1,25000,0,75000,151,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1,2.4724,0,88,88,61,1,25000,0,55000,6,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.46685,0,89,89,68,1,25000,0,125000,9,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,right,1.615185
