key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,0,1.93239,0,45,45,81,1,25000,0,55000,90
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.05161,0,46,46,32,1,5000,0,54000,5
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.25903,0,47,47,10,1,10000,0,21000,31
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,0,0.969955,0,48,48,27,1,10000,0,61000,150
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,0,1.520045,0,49,49,23,1,10000,0,110000,90
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,0,4.42366,0,50,50,53,1,5000,0,104000,90
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.61041,0,51,51,3,1,10000,0,109000,5
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.07711,0,52,52,31,1,5000,0,35000,6
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.973375,0,53,53,72,1,25000,0,75000,31
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.10651,0,54,54,69,1,25000,0,150000,9
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.93793,0,55,55,4,1,10000,0,150000,5
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.450215,0,56,56,80,1,25000,0,35000,90
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.38628,0,57,57,68,1,25000,0,125000,9
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,0,4.0011,0,58,58,84,1,25000,0,150000,89
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,0,1.95193,0,59,59,78,1,25000,0,125000,59
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.0571,0,60,60,55,1,5000,0,14000,149
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.11122,0,61,61,14,1,10000,0,150000,30
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,0,5.034665,0,62,62,49,1,5000,0,149000,59
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.776245,0,63,63,64,1,25000,0,150000,4
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.733935,0,64,64,73,1,25000,0,125000,31
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.103525,0,65,65,86,1,25000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.425605,0,66,66,13,1,10000,0,111000,30
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,0,3.539815,0,67,67,79,1,25000,0,150000,61
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.685835,0,68,68,63,1,25000,0,125000,4
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.227005,0,69,69,33,1,5000,0,104000,5
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.167725,0,70,70,37,1,5000,0,56000,9
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.210535,0,71,71,87,1,25000,0,75000,151
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,0,1.32543,0,72,72,59,1,5000,0,151000,150
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,0,1.076915,0,73,73,20,1,10000,0,20000,90
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.734155,0,74,74,42,1,5000,0,56000,29
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,0,3.950345,0,75,75,21,1,10000,0,40000,91
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,0,2.927805,0,76,76,0,1,10000,0,20000,5
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,0,2.06712,0,77,77,76,1,25000,0,55000,60
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,0,1.654855,0,78,78,24,1,10000,0,149000,89
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,1,4.576925,0,79,79,1,1,10000,0,39000,6
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,1,5.709005,0,80,80,9,1,10000,0,151000,11
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,0,5.454745,0,81,81,35,1,5000,0,15000,11
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,0,7.4064,0,82,82,70,1,25000,0,35000,30
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.554285,0,83,83,54,1,5000,0,150000,90
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,1,3.376705,0,84,84,47,1,5000,0,56000,60
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.96922,0,85,85,89,1,25000,0,150000,150
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,1,2.53414,0,86,86,44,1,5000,0,150000,30
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,1,3.655905,0,87,87,2,1,10000,0,61000,4
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,0,2.902725,0,88,88,56,1,5000,0,35000,150
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.736175,0,89,89,61,1,25000,0,55000,6
