key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,respT.rt
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,41,41,68,1,25000,0,125000,9,1.288
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,42,42,63,1,25000,0,125000,4,2.79
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,43,43,40,1,5000,0,14000,31,1.98
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,44,44,28,1,10000,0,109000,149,2.568
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,45,45,73,1,25000,0,125000,31,1.445
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,46,46,29,1,10000,0,151000,151,2.407
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,47,47,76,1,25000,0,55000,60,2.483
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,48,48,65,1,25000,0,35000,11,4.927
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,49,49,45,1,5000,0,15000,61,3.184
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,50,50,70,1,25000,0,35000,30,2.941
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,51,51,50,1,5000,0,15000,91,1.817
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,52,52,41,1,5000,0,35000,31,5.377
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,53,53,47,1,5000,0,56000,60,4.262
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,54,54,25,1,10000,0,10000,150,3.526
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,55,55,81,1,25000,0,55000,90,4.314
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,56,56,48,1,5000,0,105000,60,1.307
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,57,57,72,1,25000,0,75000,31,1.928
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,58,58,89,1,25000,0,150000,150,2.798
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,59,59,31,1,5000,0,35000,6,2.556
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,60,60,5,1,10000,0,19000,11,2.287
