ssAmount;llAmount;llDelay;ss_am;ss_del;ll_am;ll_del;Practice.thisRepN;Practice.thisTrialN;Practice.thisN;Practice.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key1.keys;key1.rt;key2.keys;key2.rt;key2_2.keys;key2_2.rt;key2_3.keys;key2_3.rt;key3.keys;key3.rt;key4.keys;key4.rt;respP.keys;respP.corr;respP.rt;key5.keys;key5.rt;respT.keys;respT.corr;respT.rt;key_resp_4.keys;key_resp_4.rt;session;psychopyVersion;frameRate;expName;date;participant;;ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,key_resp_4.keys,key_resp_4.rt,session,psychopyVersion,frameRate,expName,date,participant,
;;;5;0;150.0;90;;;;;0;0;0;54;;;;;;;;;;;;;;;;;;left;1;154.980.476.201;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,5,0,150.0,90,,,,,0,0,0,54,,,,,,,,,,,,,,,,,,left,1,1.54980476201,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;10;0;109.0;5;;;;;0;1;1;3;;;;;;;;;;;;;;;;;;left;1;223.305.570.893;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,10,0,109.0,5,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,left,1,2.23305570893,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;5;0;54.0;5;;;;;0;2;2;32;;;;;;;;;;;;;;;;;;left;1;364.968.056.604;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,5,0,54.0,5,,,,,0,2,2,32,,,,,,,,,,,,,,,,,,left,1,3.64968056604,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;5;0;15.0;11;;;;;0;3;3;35;;;;;;;;;;;;;;;;;;right;1;270.012.018.597;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,5,0,15.0,11,,,,,0,3,3,35,,,,,,,,,,,,,,,,,,right,1,2.70012018597,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;25;0;55.0;30;;;;;0;4;4;71;;;;;;;;;;;;;;;;;;left;1;251.630.429.178;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,25,0,55.0,30,,,,,0,4,4,71,,,,,,,,,,,,,,,,,,left,1,2.51630429178,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;5;0;35.0;6;;;;;0;5;5;31;;;;;;;;;;;;;;;;;;left;1;356.614.452.368;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,5,0,35.0,6,,,,,0,5,5,31,,,,,,,,,,,,,,,,,,left,1,3.56614452368,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;25;0;125.0;9;;;;;0;6;6;68;;;;;;;;;;;;;;;;;;left;1;146.684.651.729;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,25,0,125.0,9,,,,,0,6,6,68,,,,,,,,,,,,,,,,,,left,1,1.46684651729,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;10;0;110.0;90;;;;;0;7;7;23;;;;;;;;;;;;;;;;;;left;1;266.656.008.596;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,10,0,110.0,90,,,,,0,7,7,23,,,,,,,,,,,,,,,,,,left,1,2.66656008596,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;10;0;150.0;5;;;;;0;8;8;4;;;;;;;;;;;;;;;;;;right;1;400.019.431.254;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,10,0,150.0,5,,,,,0,8,8,4,,,,,,,,,,,,,,,,,,right,1,4.00019431254,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;25;0;55.0;6;;;;;0;9;9;61;;;;;;;;;;;;;;;;;;right;1;271.559.325.047;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,25,0,55.0,6,,,,,0,9,9,61,,,,,,,,,,,,,,,,,,right,1,2.71559325047,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
