key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,respT.rt
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,50,50,86,1,25000,0,55000,151,2.4879
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,51,51,48,1,5000,0,105000,60,2.3618
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,52,52,40,1,5000,0,14000,31,4.2795
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,53,53,27,1,10000,0,61000,150,5.8548
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,54,54,80,1,25000,0,35000,90,1.8584
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,55,55,1,1,10000,0,39000,6,1.8995
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,56,56,36,1,5000,0,36000,9,0.9897
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,57,57,16,1,10000,0,39000,59,2.9239
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,58,58,20,1,10000,0,20000,90,2.7544
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,59,59,30,1,5000,0,16000,4,1.7724
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,60,60,14,1,10000,0,150000,30,1.8156
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,61,61,33,1,5000,0,104000,5,1.5788
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,62,62,69,1,25000,0,150000,9,1.0718
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,63,63,45,1,5000,0,15000,61,4.5814
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,64,64,41,1,5000,0,35000,31,2.7308
