key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,respT.rt,key_resp_4.keys,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,48,48,46,1,5000,0,36000,61,1.45713,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,49,49,50,1,5000,0,15000,91,1.66891,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,50,50,36,1,5000,0,36000,9,2.943125,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,51,51,2,1,10000,0,61000,4,1.178365,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,52,52,19,1,10000,0,149000,61,2.035415,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,53,53,68,1,25000,0,125000,9,1.96853,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,54,54,31,1,5000,0,35000,6,1.635685,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,55,55,61,1,25000,0,55000,6,4.314435,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,56,56,8,1,10000,0,111000,10,1.651565,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,57,57,42,1,5000,0,56000,29,1.21741,,
,,,,,,,,,,,,,,,,,,,,,,,002,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,58,58,79,1,25000,0,150000,61,1.92017,,
