ssAmount;llAmount;llDelay;ss_am;ss_del;ll_am;ll_del;Practice.thisRepN;Practice.thisTrialN;Practice.thisN;Practice.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key1.keys;key1.rt;key2.keys;key2.rt;key2_2.keys;key2_2.rt;key2_3.keys;key2_3.rt;key3.keys;key3.rt;key4.keys;key4.rt;respP.keys;respP.corr;respP.rt;key5.keys;key5.rt;respT.keys;respT.corr;respT.rt;session;psychopyVersion;frameRate;expName;date;participant;;ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,session,psychopyVersion,frameRate,expName,date,participant,
;;;5;0;151.0;150;;;;;0;17;17;59;;;;;;;;;;;;;;;;;;right;1;389.974.842.127;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,5,0,151.0,150,,,,,0,17,17,59,,,,,,,,,,,,,,,,,,right,1,3.89974842127,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;10;0;20.0;90;;;;;0;18;18;20;;;;;;;;;;;;;;;;;;left;0;159.985.061.549;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,10,0,20.0,90,,,,,0,18,18,20,,,,,,,,,,,,,,,,,,left,0,1.59985061549,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;25;0;125.0;149;;;;;0;19;19;88;;;;;;;;;;;;;;;;;;right;1;513.251.368.934;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,25,0,125.0,149,,,,,0,19,19,88,,,,,,,,,,,,,,,,,,right,1,5.13251368934,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;5;0;15.0;91;;;;;0;20;20;50;;;;;;;;;;;;;;;;;;left;0;191.750.286.287;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,5,0,15.0,91,,,,,0,20,20,50,,,,,,,,,,,,,,,,,,left,0,1.91750286287,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;10;0;39.0;150;;;;;0;21;21;26;;;;;;;;;;;;;;;;;;right;0;211.723.648.012;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,10,0,39.0,150,,,,,0,21,21,26,,,,,,,,,,,,,,,,,,right,0,2.11723648012,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;5;0;104.0;10;;;;;0;22;22;38;;;;;;;;;;;;;;;;;;right;1;160.038.214.875;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,5,0,104.0,10,,,,,0,22,22,38,,,,,,,,,,,,,,,,,,right,1,1.60038214875,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;10;0;110.0;60;;;;;0;23;23;18;;;;;;;;;;;;;;;;;;left;1;209.873.562.958;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,10,0,110.0,60,,,,,0,23,23,18,,,,,,,,,,,,,,,,,,left,1,2.09873562958,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;5;0;150.0;30;;;;;0;24;24;44;;;;;;;;;;;;;;;;;;left;1;144.978.810.614;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,5,0,150.0,30,,,,,0,24,24,44,,,,,,,,,,,,,,,,,,left,1,1.44978810614,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;25;0;55.0;151;;;;;0;25;25;86;;;;;;;;;;;;;;;;;;left;0;198.354.200.553;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,25,0,55.0,151,,,,,0,25,25,86,,,,,,,,,,,,,,,,,,left,0,1.98354200553,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;25;0;35.0;5;;;;;0;26;26;60;;;;;;;;;;;;;;;;;;left;1;436.688.178.172;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,25,0,35.0,5,,,,,0,26,26,60,,,,,,,,,,,,,,,,,,left,1,4.36688178172,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
